,price,mileage,registration_date,engine_power,brand,model,registration_year,colour,type,fuel_type,is_after_accident,engine_size
397,"
€ 6.590,-
",67.500 km,06/2014,63 kW,Hyundai,i20,2014,Orange,Limousine,Normal/Benzin E10 91,,"
1.248 cm³
"
398,"
€ 6.610,-
",62.665 km,05/2014,63 kW,Hyundai,i20,2014,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
399,"
€ 6.690,-
",36.740 km,04/2014,63 kW,Hyundai,i20,2014,Silber,Limousine,Super 95,,"
1.248 cm³
"
400,"
€ 6.790,-
",81.670 km,11/2014,62 kW,Hyundai,i20,2014,Grau,Limousine,Super 95,,"
1.248 cm³
"
401,"
€ 6.850,-
",42.000 km,06/2014,63 kW,Hyundai,i20,2014,Silber,Kleinwagen,Super 95,,"
1.248 cm³
"
402,"
€ 6.890,-
",44.490 km,09/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95,,no_data
403,"
€ 6.899,-
",44.713 km,03/2014,63 kW,Hyundai,i20,2014,Weiß,Limousine,Super 95 / Super E10 95,no_data_about_accident,"
1.248 cm³
"
404,"
€ 6.900,-
",53.421 km,10/2014,63 kW,Hyundai,i20,2014,Grau,Limousine,Benzin,"
12 Monate
","
1.248 cm³
"
405,"
€ 6.900,-
",82.100 km,10/2014,63 kW,Hyundai,i20,2014,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
406,"
€ 6.950,-
",70.630 km,12/2014,63 kW,Hyundai,i20,2014,Silber,Kleinwagen,Benzin,,no_data
407,"
€ 6.990,-
",40.000 km,11/2014,63 kW,Hyundai,i20,2014,Weiß,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
408,"
€ 6.990,-
",38.908 km,12/2014,63 kW,Hyundai,i20,2014,Schwarz,Limousine,Benzin,,no_data
409,"
€ 6.990,-
",80.236 km,10/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Benzin,no_data_about_accident,no_data
410,"
€ 6.999,-
",50.000 km,10/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95,,no_data
411,"
€ 7.200,-
",59.500 km,06/2014,55 kW,Hyundai,i20,2014,Grau,Limousine,Diesel,,"
1.120 cm³
"
412,"
€ 7.290,-
",46.133 km,05/2014,63 kW,Hyundai,i20,2014,Schwarz,Kleinwagen,Benzin,,no_data
413,"
€ 7.299,-
",53.899 km,05/2014,63 kW,Hyundai,i20,2014,Grau,Kleinwagen,Super 95,,no_data
414,"
€ 7.390,-
",50.400 km,05/2014,63 kW,Hyundai,i20,2014,Grau,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
415,"
€ 7.450,-
",81.733 km,11/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95,,no_data
416,"
€ 7.489,-
",83.000 km,05/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98,,"
1.248 cm³
"
417,"
€ 7.490,-
",35.900 km,02/2014,63 kW,Hyundai,i20,2014,Silber,Kleinwagen,Super 95,,no_data
418,"
€ 7.490,-
",76.900 km,06/2014,74 kW,Hyundai,i20,2014,Orange,Kleinwagen,Super 95,no_data_about_accident,no_data
419,"
€ 7.500,-
",42.000 km,09/2014,74 kW,Hyundai,i20,2014,Rot,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
420,"
€ 7.790,-
",38.538 km,07/2014,63 kW,Hyundai,i20,2014,Schwarz,Limousine,Super 95,"
12 Monate
","
1.248 cm³
"
421,"
€ 7.990,-
",28.600 km,07/2014,63 kW,Hyundai,i20,2014,Grau,Limousine,Normal/Benzin 91,no_data_about_accident,"
1.248 cm³
"
422,"
€ 7.990,-
",23.900 km,08/2014,63 kW,Hyundai,i20,2014,Silber,Kleinwagen,Benzin,,no_data
423,"
€ 7.990,-
",27.500 km,04/2014,63 kW,Hyundai,i20,2014,Grau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
424,"
€ 8.000,-
",70.000 km,11/2014,74 kW,Hyundai,i20,2014,Orange,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
425,"
€ 8.280,-
",34.800 km,11/2014,63 kW,Hyundai,i20,2014,Schwarz,Limousine,Super E10 95,,"
1.248 cm³
"
426,"
€ 8.290,-
",30.300 km,04/2014,63 kW,Hyundai,i20,2014,Orange,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
427,"
€ 8.499,-
",63.000 km,10/2014,74 kW,Hyundai,i20,2014,Silber,Kleinwagen,Super 95,,no_data
428,"
€ 8.690,-
",75.000 km,11/2014,74 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95,,"
1.135 kg
"
429,"
€ 8.690,-
",61.000 km,09/2014,74 kW,Hyundai,i20,2014,Grau,Limousine,Super 95,no_data_about_accident,"
1.396 cm³
"
430,"
€ 8.890,-
",75.000 km,12/2014,74 kW,Hyundai,i20,2014,Weiß,Limousine,Benzin,,"
1.396 cm³
"
431,"
€ 8.900,-
",29.300 km,11/2014,74 kW,Hyundai,i20,2014,Weiß,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
432,"
€ 8.950,-
",56.997 km,02/2014,63 kW,Hyundai,i20,2014,Schwarz,Limousine,Super 95,,"
1.248 cm³
"
433,"
€ 8.990,-
",37.995 km,08/2014,63 kW,Hyundai,i20,2014,Silber,Limousine,Super 95,,"
1.248 cm³
"
434,"
€ 9.190,-
",29.401 km,11/2014,62 kW,Hyundai,i20,2014,Silber,Kleinwagen,Benzin,,no_data
435,"
€ 9.190,-
",57.000 km,06/2014,74 kW,Hyundai,i20,2014,Grau,Limousine,Super E10 95 / Super 95,,"
4
"
436,"
€ 9.200,-
",29.300 km,11/2014,74 kW,Hyundai,i20,2014,Weiß,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
437,"
€ 9.350,-
",37.000 km,05/2014,74 kW,Hyundai,i20,2014,Grau,Kleinwagen,Benzin,no_data_about_accident,"
1.396 cm³
"
438,"
€ 9.450,-
",38.055 km,01/2014,63 kW,Hyundai,i20,2014,Weiß,Kleinwagen,Super 95,,no_data
439,"
€ 9.490,-
",94.200 km,12/2014,66 kW,Hyundai,i20,2014,Grau,Kleinwagen,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.396 cm³
"
440,"
€ 9.500,-
",84.665 km,12/2014,74 kW,Hyundai,i20,2014,Orange,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
441,"
€ 9.790,-
",17.000 km,10/2014,74 kW,Hyundai,i20,2014,Schwarz,Kleinwagen,Benzin (Rußpartikelfilter),,"
4
"
442,"
€ 9.790,-
",29.000 km,03/2014,74 kW,Hyundai,i20,2014,Silber,Limousine,Super 95,,no_data
443,"
€ 9.990,-
",15.891 km,10/2014,74 kW,Hyundai,i20,2014,Weiß,Limousine,Super 95,no_data_about_accident,"
1.396 cm³
"
444,"
€ 9.999,-
",39.175 km,10/2014,74 kW,Hyundai,i20,2014,Grau,Kleinwagen,Benzin,,no_data
445,"
€ 7.980,-
",34.433 km,12/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Super 95,no_data_about_accident,no_data
446,"
€ 8.880,-
",20.178 km,03/2015,63 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
Front
"
447,"
€ 8.990,-
",53.857 km,05/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Super 95,,no_data
448,"
€ 9.950,-
",59.650 km,10/2015,62 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95,,"
1.248 cm³
"
449,"
€ 10.790,-
",34.579 km,06/2015,74 kW,Hyundai,i20,2015,Grau,Kleinwagen,Benzin,,no_data
450,"
€ 6.900,-
",121.800 km,10/2015,62 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Benzin,no_data_about_accident,no_data
451,"
€ 8.590,-
",86.800 km,10/2015,74 kW,Hyundai,i20,2015,Schwarz,Coupé,Super 95,,no_data
452,"
€ 9.490,-
",53.000 km,11/2015,62 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,,no_data
453,"
€ 4.750,-
",125.457 km,01/2015,63 kW,Hyundai,i20,2015,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
454,"
€ 5.400,-
",86.000 km,04/2015,63 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
455,"
€ 5.650,-
",125.457 km,01/2015,62 kW,Hyundai,i20,2015,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
456,"
€ 6.350,-
",64.984 km,01/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
457,"
€ 6.490,-
",115.123 km,07/2015,55 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95,,"
1.248 cm³
"
458,"
€ 6.790,-
",42.500 km,08/2015,55 kW,Hyundai,i20,2015,Silber,Limousine,Super 95,,"
1.248 cm³
"
459,"
€ 6.790,-
",148.849 km,03/2015,74 kW,Hyundai,i20,2015,Grau,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
460,"
€ 6.880,-
",74.500 km,05/2015,55 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
461,"
€ 6.890,-
",113.390 km,10/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Diesel,"
10/2019
","
1.120 cm³
"
462,"
€ 6.890,-
",107.000 km,05/2015,63 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Benzin,no_data_about_accident,no_data
463,,79.524 km,08/2015,62 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Benzin,,"
4
"
464,"
€ 6.900,-
",116.938 km,06/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Diesel,no_data_about_accident,"
1.120 cm³
"
465,"
€ 6.900,-
",116.938 km,06/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Diesel,no_data_about_accident,"
1.120 cm³
"
466,"
€ 6.980,-
",77.527 km,09/2015,55 kW,Hyundai,i20,2015,Blau,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
467,"
€ 6.990,-
",48.051 km,10/2015,62 kW,Hyundai,i20,2015,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
468,"
€ 6.990,-
",106.650 km,12/2015,55 kW,Hyundai,i20,2015,Rot,Kleinwagen,Super 95,,no_data
469,"
€ 6.999,-
",99.000 km,02/2015,62 kW,Hyundai,i20,2015,Silber,Kleinwagen,Super 95,,"
1.248 cm³
"
470,"
€ 6.999,-
",117.000 km,08/2015,62 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95,,"
1.248 cm³
"
471,"
€ 7.200,-
",73.771 km,03/2015,62 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95,,"
1.248 cm³
"
472,"
€ 7.210,-
",56.500 km,08/2015,62 kW,Hyundai,i20,2015,Blau,Kleinwagen,Benzin,no_data_about_accident,no_data
473,"
€ 7.250,-
",56.000 km,11/2015,74 kW,Hyundai,i20,2015,Braun,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
474,"
€ 7.400,-
",39.600 km,11/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
475,"
€ 7.500,-
",28.620 km,09/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,,"
1.248 cm³
"
476,"
€ 7.550,-
",78.891 km,05/2015,74 kW,Hyundai,i20,2015,Rot,Kleinwagen,Benzin,,no_data
477,"
€ 7.590,-
",33.500 km,10/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Super 95,,no_data
478,"
€ 7.590,-
",47.022 km,03/2015,55 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,no_data_about_accident,no_data
479,"
€ 7.600,-
",54.304 km,08/2015,62 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
480,"
€ 7.680,-
",66.499 km,09/2015,74 kW,Hyundai,i20,2015,Grau,Coupé,Benzin,,"
1.368 cm³
"
481,"
€ 7.690,-
",82.000 km,06/2015,62 kW,Hyundai,i20,2015,Silber,Kleinwagen,Benzin,no_data_about_accident,no_data
482,"
€ 7.699,-
",47.800 km,02/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,,no_data
483,"
€ 7.777,-
",52.198 km,01/2015,66 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Diesel (Rußpartikelfilter),,no_data
484,"
€ 7.790,-
",106.000 km,03/2015,55 kW,Hyundai,i20,2015,Orange,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,no_data
485,"
€ 7.800,-
",99.870 km,07/2015,74 kW,Hyundai,i20,2015,Blau,Limousine,Super 95,,no_data
486,"
€ 7.900,-
",20.703 km,11/2015,55 kW,Hyundai,i20,2015,Limousine,Schaltgetriebe,,,no_data
487,"
€ 7.950,-
",110.000 km,01/2015,62 kW,Hyundai,i20,2015,Blau,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
488,"
€ 7.950,-
",87.000 km,08/2015,62 kW,Hyundai,i20,2015,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
489,"
€ 7.950,-
",81.100 km,03/2015,74 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,,"
1.368 cm³
"
490,"
€ 7.950,-
",43.020 km,06/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Super 95 / Super Plus 98,"
12 Monate
","
1.248 cm³
"
491,"
€ 7.970,-
",47.000 km,06/2015,62 kW,Hyundai,i20,2015,Schwarz,Limousine,Super 95,,no_data
492,"
€ 7.980,-
",71.538 km,05/2015,74 kW,Hyundai,i20,2015,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
493,"
€ 7.990,-
",85.050 km,08/2015,66 kW,Hyundai,i20,2015,Grau,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.396 cm³
"
494,"
€ 7.990,-
",69.000 km,03/2015,62 kW,Hyundai,i20,2015,Orange,Limousine,Super 95,,"
1.248 cm³
"
495,"
€ 7.990,-
",34.589 km,11/2015,62 kW,Hyundai,i20,2015,Braun,Limousine,Super E10 95 / Normal/Benzin 91 / Super Plus E10 98 / Super 95 / Super Plus 98 / Normal/Benzin E10 91,"
03/2020
","
1.248 cm³
"
496,"
€ 7.990,-
",49.300 km,04/2015,62 kW,Hyundai,i20,2015,Limousine,Schaltgetriebe,,no_data_about_accident,no_data
497,"
€ 7.990,-
",68.000 km,10/2015,55 kW,Hyundai,i20,2015,Silber,Limousine,Super 95,,no_data
498,"
€ 7.999,-
",14.000 km,05/2015,55 kW,Hyundai,i20,2015,Silber,Kleinwagen,Super 95,no_data_about_accident,no_data
499,"
€ 7.999,-
",33.500 km,12/2015,55 kW,Hyundai,i20,2015,Kleinwagen,Schaltgetriebe,,,no_data
500,"
€ 8.000,-
",88.000 km,10/2015,74 kW,Hyundai,i20,2015,Gold,Schaltgetriebe,,,"
1.368 cm³
"
501,"
€ 8.190,-
",51.500 km,08/2015,62 kW,Hyundai,i20,2015,Braun,Limousine,Super E10 95,,"
1.248 cm³
"
502,"
€ 8.200,-
",75.130 km,09/2015,74 kW,Hyundai,i20,2015,Grau,Kleinwagen,Benzin,no_data_about_accident,no_data
503,"
€ 8.300,-
",93.100 km,09/2015,62 kW,Hyundai,i20,2015,Grau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
504,"
€ 8.480,-
",66.652 km,08/2015,62 kW,Hyundai,i20,2015,Rot,Kleinwagen,Super 95,,"
1.248 cm³
"
505,"
€ 8.490,-
",61.229 km,12/2015,62 kW,Hyundai,i20,2015,Blau,Limousine,Super 95 / Normal/Benzin 91,no_data_about_accident,no_data
506,"
€ 8.490,-
",45.200 km,11/2015,55 kW,Hyundai,i20,2015,Rot,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.120 cm³
"
507,"
€ 8.490,-
",52.356 km,11/2015,55 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
508,"
€ 8.499,-
",71.500 km,08/2015,74 kW,Hyundai,i20,2015,Weiß,Coupé,Benzin,,"
1.368 cm³
"
509,"
€ 8.500,-
",11.441 km,11/2015,55 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super E10 95 / Super 95,no_data_about_accident,"
1.248 cm³
"
510,"
€ 8.500,-
",59.000 km,03/2015,74 kW,Hyundai,i20,2015,Silber,Limousine,Benzin,,"
1.368 cm³
"
511,,61.000 km,04/2015,74 kW,Hyundai,i20,2015,Orange,Limousine,Super 95,no_data_about_accident,no_data
512,"
€ 8.600,-
",65.851 km,04/2015,74 kW,Hyundai,i20,2015,Schwarz,Coupé,Benzin,,"
1.368 cm³
"
513,"
€ 8.690,-
",19.400 km,06/2015,62 kW,Hyundai,i20,2015,Braun,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
514,"
€ 8.780,-
",100.952 km,11/2015,74 kW,Hyundai,i20,2015,Orange,Limousine,Super 95,,"
1.368 cm³
"
515,"
€ 8.880,-
",57.578 km,10/2015,74 kW,Hyundai,i20,2015,Grau,Limousine,Super 95,no_data_about_accident,"
1.368 cm³
"
516,"
€ 8.900,-
",101.010 km,11/2015,66 kW,Hyundai,i20,2015,Braun,Limousine,Diesel,,"
1.396 cm³
"
517,"
€ 8.900,-
",79.807 km,12/2015,74 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,,"
1.368 cm³
"
518,"
€ 8.900,-
",75.200 km,05/2015,62 kW,Hyundai,i20,2015,Orange,Limousine,Super 95,,no_data
519,"
€ 8.950,-
",46.000 km,06/2015,74 kW,Hyundai,i20,2015,Braun,Limousine,Benzin,no_data_about_accident,"
1.368 cm³
"
520,"
€ 8.950,-
",39.000 km,10/2015,55 kW,Hyundai,i20,2015,Weiß,Limousine,Benzin,,"
1.248 cm³
"
521,"
€ 8.980,-
",80.200 km,10/2015,74 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,no_data_about_accident,no_data
522,"
€ 8.990,-
",62.000 km,11/2015,74 kW,Hyundai,i20,2015,Schwarz,Limousine,Super 95,no_data_about_accident,no_data
523,"
€ 8.990,-
",106.119 km,05/2015,74 kW,Hyundai,i20,2015,Grau,Kleinwagen,Super 95,,"
1.368 cm³
"
524,"
€ 8.990,-
",61.000 km,07/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
525,"
€ 8.990,-
",61.000 km,07/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
526,,41.600 km,11/2015,74 kW,Hyundai,i20,2015,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.368 cm³
"
527,,54.100 km,05/2015,74 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98,,"
1.368 cm³
"
528,"
€ 8.999,-
",73.500 km,02/2015,62 kW,Hyundai,i20,2015,Silber,Limousine,Super E10 95 / Super 95,,"
1.248 cm³
"
529,"
€ 9.000,-
",5.057 km,02/2015,63 kW,Hyundai,i20,2015,Blau,Limousine,Benzin,,"
1.248 cm³
"
530,"
€ 9.290,-
",62.100 km,02/2015,74 kW,Hyundai,i20,2015,Braun,Limousine,Super 95,,"
1.368 cm³
"
531,"
€ 9.380,-
",69.200 km,12/2015,74 kW,Hyundai,i20,2015,Rot,Kleinwagen,Super 95,,"
1.368 cm³
"
532,,45.900 km,08/2015,74 kW,Hyundai,i20,2015,Weiß,Kleinwagen,Super 95 / Normal/Benzin 91,no_data_about_accident,"
1.368 cm³
"
533,"
€ 9.400,-
",67.141 km,05/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,,no_data
534,"
€ 9.470,-
",62.107 km,12/2015,62 kW,Hyundai,i20,2015,Grau,Limousine,Super 95 / Super E10 95,no_data_about_accident,"
1.248 cm³
"
535,"
€ 9.470,-
",76.000 km,08/2015,55 kW,Hyundai,i20,2015,Braun,Kleinwagen,Diesel (Rußpartikelfilter),,"
1.120 cm³
"
536,"
€ 9.490,-
",56.800 km,08/2015,74 kW,Hyundai,i20,2015,Rot,Kleinwagen,Super 95,,"
1.368 cm³
"
537,"
€ 9.490,-
",36.100 km,03/2015,62 kW,Hyundai,i20,2015,Grau,Kleinwagen,Benzin,,no_data
538,"
€ 9.490,-
",66.310 km,04/2015,74 kW,Hyundai,i20,2015,Braun,Limousine,Super 95,,"
1.368 cm³
"
539,"
€ 9.490,-
",49.800 km,09/2015,62 kW,Hyundai,i20,2015,Grau,Limousine,Benzin,,no_data
540,"
€ 9.499,-
",48.300 km,06/2015,62 kW,Hyundai,i20,2015,Grau,Kleinwagen,Super 95,,no_data
541,"
€ 9.800,-
",47.555 km,07/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Benzin,,"
1.248 cm³
"
542,"
€ 9.900,-
",67.000 km,06/2015,74 kW,Hyundai,i20,2015,Weiß,Limousine,Super 95,,no_data
543,"
€ 9.990,-
",44.197 km,09/2015,62 kW,Hyundai,i20,2015,Schwarz,Limousine,Super 95,,"
1.248 cm³
"
544,"
€ 9.990,-
",65.760 km,06/2015,74 kW,Hyundai,i20,2015,Blau,Kleinwagen,Super 95,,no_data
545,"
€ 9.990,-
",14.000 km,08/2015,62 kW,Hyundai,i20,2015,Grau,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
546,"
€ 9.990,-
",31.794 km,10/2015,62 kW,Hyundai,i20,2015,Braun,Kleinwagen,Benzin,no_data_about_accident,no_data
547,"
€ 9.990,-
",72.822 km,08/2015,62 kW,Hyundai,i20,2015,Grau,Kleinwagen,Super E10 95,no_data_about_accident,"
1.248 cm³
"
548,"
€ 10.000,-
",42.000 km,04/2015,62 kW,Hyundai,i20,2015,Orange,Kleinwagen,Super E10 95 / Super 95,,"
1.248 cm³
"
549,"
€ 10.595,-
",46.000 km,05/2015,74 kW,Hyundai,i20,2015,Orange,Kleinwagen,Super 95,"
Ja
","
1.368 cm³
"
550,"
€ 10.690,-
",59.580 km,12/2015,74 kW,Hyundai,i20,2015,Braun,Limousine,Super 95 / Super E10 95 / Super Plus 98,no_data_about_accident,"
1.368 cm³
"
551,"
€ 10.700,-
",48.000 km,08/2015,74 kW,Hyundai,i20,2015,Braun,Kleinwagen,Super 95,no_data_about_accident,"
1.368 cm³
"
552,"
€ 10.770,-
",51.160 km,06/2015,62 kW,Hyundai,i20,2015,Orange,Kleinwagen,Super E10 95,no_data_about_accident,"
1.248 cm³
"
553,"
€ 10.790,-
",33.471 km,09/2015,74 kW,Hyundai,i20,2015,Silber,Kleinwagen,Super 95,,no_data
554,"
€ 10.790,-
",107.500 km,04/2015,66 kW,Hyundai,i20,2015,Weiß,Limousine,Diesel (Rußpartikelfilter),,"
1.396 cm³
"
555,"
€ 10.850,-
",68.250 km,12/2015,62 kW,Hyundai,i20,2015,Grau,Kleinwagen,Benzin (Rußpartikelfilter),no_data_about_accident,"
1.248 cm³
"
556,"
€ 10.988,-
",52.391 km,11/2015,74 kW,Hyundai,i20,2015,Grau,Kleinwagen,Super 95,no_data_about_accident,"
1.368 cm³
"
557,"
€ 11.450,-
",59.613 km,06/2015,74 kW,Hyundai,i20,2015,Rot,Limousine,Super 95,,no_data
558,"
€ 11.900,-
",55.025 km,07/2015,74 kW,Hyundai,i20,2015,Rot,Kleinwagen,Super 95,,no_data
559,"
€ 11.900,-
",52.000 km,07/2015,66 kW,Hyundai,i20,2015,Orange,Coupé,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.396 cm³
"
560,"
€ 11.900,-
",16.262 km,08/2015,74 kW,Hyundai,i20,2015,Bronze,Coupé,Benzin,no_data_about_accident,"
1.368 cm³
"
561,"
€ 11.950,-
",6.411 km,07/2015,74 kW,Hyundai,i20,2015,Blau,Kleinwagen,Super 95,"
Ja
","
1.154 kg
"
562,"
€ 7.890,-
",32.712 km,06/2016,60 kW,Hyundai,i20,2016,Rot,Limousine,Super 95,,"
1.248 cm³
"
563,"
€ 7.890,-
",32.712 km,06/2016,60 kW,Hyundai,i20,2016,Rot,Limousine,Super 95,,"
1.248 cm³
"
564,"
€ 7.770,-
",61.200 km,08/2016,55 kW,Hyundai,i20,2016,Weiß,Limousine,Super 95,"
Ja
","
1.248 cm³
"
565,"
€ 7.950,-
",63.200 km,11/2016,55 kW,Hyundai,i20,2016,Weiß,Kleinwagen,Super 95,"
36 Monate
","
1.248 cm³
"
566,"
€ 8.990,-
",26.853 km,01/2016,55 kW,Hyundai,i20,2016,Schwarz,Limousine,Super 95,,no_data
567,"
€ 8.990,-
",32.616 km,08/2016,62 kW,Hyundai,i20,2016,Schwarz,Kleinwagen,Super 95,,"
1.248 cm³
"
568,"
€ 9.980,-
",46.000 km,06/2016,74 kW,Hyundai,i20,2016,Silber,Kleinwagen,Super 95,,"
998 cm³
"
569,"
€ 8.490,-
",84.217 km,01/2016,74 kW,Hyundai,i20,2016,Grau,Kleinwagen,Super 95,,no_data
570,"
€ 11.790,-
",36.521 km,11/2016,66 kW,Hyundai,i20,2016,Schwarz,Limousine,Diesel (Rußpartikelfilter),,no_data
571,"
€ 6.680,-
",95.739 km,10/2016,55 kW,Hyundai,i20,2016,Schwarz,Kleinwagen,Diesel (Rußpartikelfilter),no_data_about_accident,no_data
572,"
€ 6.888,-
",65.555 km,04/2016,62 kW,Hyundai,i20,2016,Braun,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
573,"
€ 6.890,-
",77.000 km,02/2016,55 kW,Hyundai,i20,2016,Rot,Kleinwagen,Diesel (Rußpartikelfilter),,no_data
574,"
€ 6.900,-
",62.000 km,05/2016,55 kW,Hyundai,i20,2016,Braun,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
575,"
€ 6.950,-
",39.100 km,09/2016,62 kW,Hyundai,i20,2016,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
576,,91.200 km,04/2016,55 kW,Hyundai,i20,2016,Weiß,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,no_data
577,"
€ 7.300,-
",90.500 km,05/2016,62 kW,Hyundai,i20,2016,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
578,"
€ 7.405,-
",82.150 km,05/2016,62 kW,Hyundai,i20,2016,Schwarz,Limousine,Benzin,,"
1.248 cm³
"
579,"
€ 7.490,-
",54.455 km,08/2016,55 kW,Hyundai,i20,2016,Braun,Kleinwagen,Super 95,,no_data
580,"
€ 7.490,-
",147.000 km,08/2016,88 kW,Hyundai,i20,2016,Weiß,Limousine,Super 95,,no_data
581,"
€ 7.495,-
",105.438 km,12/2016,74 kW,Hyundai,i20,2016,Schwarz,Limousine,Super 95,,"
998 cm³
"
582,"
€ 7.500,-
",60.100 km,04/2016,55 kW,Hyundai,i20,2016,Weiß,Kleinwagen,Benzin,,no_data
583,"
€ 7.600,-
",47.990 km,09/2016,55 kW,Hyundai,i20,2016,Weiß,Limousine,,no_data_about_accident,no_data
584,"
€ 7.650,-
",44.760 km,09/2016,55 kW,Hyundai,i20,2016,Weiß,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
585,"
€ 7.790,-
",83.974 km,02/2016,55 kW,Hyundai,i20,2016,Weiß,Kleinwagen,Super 95,,"
1.248 cm³
"
586,"
€ 7.800,-
",63.500 km,01/2016,62 kW,Hyundai,i20,2016,Schwarz,Kleinwagen,Benzin,,"
1.248 cm³
"
